"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"grid"
3.70574114947548e-32;5.6959824000883e-35;6.94790899309857e-29;1.47813154052231e-26;5.44574088830624e-30;1.95973154825841e-11;4.35215463033778e-45;4.1184240185864e-43;"a1"
2.97479529686981e-21;1.24322566160496e-20;6.93586107804736e-15;3.37719282516269e-14;1.76486291899047e-21;3.1048243989595e-08;7.4900717331862e-31;1.54069072422655e-28;"a2"
0.000592163134439734;1;0.999955532387829;1;1;1;1;1;"a3"
7.93868619877907e-17;4.71058043297341e-16;4.84575023974967e-10;1.0217074484319e-11;9.29955522170165e-14;3.35358546463141e-07;2.7164636905429e-24;1.32917227977462e-19;"a4"
3.80974079780575e-05;0.0014010050012745;0.00324589688083454;0.00529493992862817;0.0074800716786625;0.0104316950121849;0.0129965223062809;0.0207189102060813;"b1"
2.53493753648747e-14;9.93285140086286e-11;3.95028064416348e-09;5.81083353615999e-09;1.12928966276387e-10;5.08323123337993e-06;4.63327129667698e-20;3.24535252593786e-15;"b2"
0.00187570302504229;0.129934178423016;0.282173522347587;0.440434543385553;0.602139373273772;0.807345342438038;1;1;"b3"
0.000713765319193482;0.648913882089157;0.876494746054613;0.956370107562267;0.984403731228733;0.994247175698717;0.997700885015698;0.998914858977269;"b4"
1.30743623364569e-06;8.62575109762035e-05;0.000215171887938584;0.000356179553214087;0.000503142956351195;0.000784608433003851;0.00105335388832137;0.00401091144635175;"c1"
0.000187145463414018;0.00472049849476664;0.00989894960308017;0.0154172424192445;0.0209020788262917;0.0278674177235633;0.0343174605485017;0.0443023521503574;"c2"
0.000713852784909378;0.274078972817665;0.472583265840331;0.616719019901312;0.721376093351351;0.797382337354982;0.852562200856429;0.892654010309176;"c3"
0.000711866178704516;0.61038948816361;0.848130894576103;0.940596326655186;0.976561658639433;0.990575474668901;0.996018560865192;0.998159341203128;"c4"
9.50953395800419e-06;0.000799288661028237;0.00198316597275023;0.00342442741654532;0.00498377431711968;0.00806715765402508;0.0106266092594739;0.0202038044668808;"d1"
0.0006855972834033;0.185311080486568;0.336167566417059;0.458612304927408;0.557840225796731;0.638671648717096;0.703983780330036;0.759027021361237;"d2"
0.000714140471378469;0.578921108769771;0.822412989790161;0.924940418847724;0.968112639458703;0.986293112734199;0.993947748470303;0.997173159788481;"d3"
5.08924011139748e-06;0.0151151685167526;0.337246561327548;0.619472968365187;1;0.999868432362561;1;1;"d4"
