"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"grid"
0.0114762444503238;1;0.249934296815699;0.677558040438223;0.247090152613699;0.900074800042833;0.012261986430042;1;"a1"
1;1;1;0.217017118922819;1;0.396062348999271;1;1;"a2"
0.00583318560403316;1;0.443300037947283;0.482586968086359;1;0.335616193760193;1;1;"a3"
1;1;0.267131681122183;1;0.037066653659171;1;1;0.0547676071177184;"a4"
1;1;0.483189724175023;0.513480409028925;1;0.460172701220984;1;0.176830820153051;"b1"
1;1;0.422623902846487;0.466280172462484;1;0.790674406674099;0.0988109865766108;0.297958012789046;"b2"
0.0120028906269744;1;0.483412133425195;0.51365111824163;1;1;1;1;"b3"
0.0310482267741311;1;0.40314671815407;0.836905876738532;0.0624832373453696;1;1;0.185917956751446;"b4"
1;1;0.474413575144734;0.506733234465676;1;0.393507991562053;1;0.0447619657657643;"c1"
0.180959030066145;1;0.484908316273018;0.56788956618642;1;0.619578103181022;0.463513212609894;0.39243872730342;"c2"
0.0465137345957974;1;0.506493881653705;0.675911858683059;0.576983829530706;0.569901497754252;1;0.302849457904198;"c3"
0.114995512640244;1;0.579701717553008;0.542976548604251;1;0.558773286337323;0.482207304787032;0.256240398430145;"c4"
1;1;0.228130022452344;0.833669342484219;0.115675819159798;0.706727081401295;1;1;"d1"
0.0212626293701331;1;0.559101422354637;0.528595447435784;1;0.760042645751494;0.187854783277132;1;"d2"
1;0.2992919588363;0.747994862224619;0.674056483863759;0.413052930602698;0.778431781753637;0.288227646715803;1;"d3"
0.0430364066238373;1;0.406428650115584;1;1;0.389760589827748;1;1;"d4"
